NumIters	Seconds	LearningRate	loss
176920.0	65052.714273	0.001	0.258625
176940.0	65060.094789	0.001	0.13897
176960.0	65067.450613	0.001	0.0960444
176980.0	65074.822194	0.001	0.89592
177000.0	65082.109397	0.001	0.903742
177020.0	65089.607559	0.001	0.336404
177040.0	65097.139706	0.001	0.513439
177060.0	65104.420838	0.001	0.142972
177080.0	65111.577584	0.001	0.473498
177100.0	65118.989135	0.001	0.32989
177120.0	65126.355283	0.001	0.647257
177140.0	65133.489609	0.001	0.415442
177160.0	65140.899622	0.001	0.562578
177180.0	65148.237841	0.001	0.69093
177200.0	65155.519188	0.001	0.234152
177220.0	65162.961153	0.001	0.556877
177240.0	65170.212677	0.001	0.294056
177260.0	65177.581089	0.001	0.497246
177280.0	65184.965512	0.001	0.261086
177300.0	65192.243954	0.001	1.02557
177320.0	65199.546097	0.001	0.544732
177340.0	65206.817814	0.001	0.35416
177360.0	65214.22788	0.001	0.392554
177380.0	65221.46465	0.001	0.491328
177400.0	65228.857121	0.001	0.23401
177420.0	65236.128963	0.001	0.0778938
177440.0	65243.379385	0.001	0.251645
177460.0	65250.613015	0.001	0.0623897
177480.0	65257.775812	0.001	1.06842
177500.0	65265.147279	0.001	0.217182
177520.0	65272.508371	0.001	0.508458
177540.0	65279.822957	0.001	0.111515
177560.0	65287.211558	0.001	0.26858
177580.0	65294.58834	0.001	0.694185
177600.0	65301.825819	0.001	0.150522
177620.0	65309.180522	0.001	0.90386
177640.0	65316.546804	0.001	0.319573
177660.0	65323.769209	0.001	0.28408
177680.0	65331.080256	0.001	0.838502
177700.0	65338.412093	0.001	0.722102
177720.0	65345.797119	0.001	0.706887
177740.0	65353.069056	0.001	0.14936
177760.0	65360.409356	0.001	0.457864
177780.0	65367.744082	0.001	0.270162
177800.0	65375.058544	0.001	0.491525
177820.0	65382.227725	0.001	0.643503
177840.0	65389.734572	0.001	0.875729
177860.0	65397.068298	0.001	0.664821
177880.0	65404.391284	0.001	0.208448
177900.0	65411.713269	0.001	0.102984
177920.0	65419.143581	0.001	0.171032
177940.0	65426.436669	0.001	0.558747
177960.0	65433.806187	0.001	0.598557
177980.0	65441.065253	0.001	0.35602
178000.0	65448.261507	0.001	0.712839
178020.0	65455.733716	0.001	0.172647
178040.0	65463.130482	0.001	0.107684
178060.0	65470.522007	0.001	0.176135
178080.0	65478.002521	0.001	0.112999
178100.0	65485.39888	0.001	0.472642
